address_id,pharmacy_name,lat,lon,distance_m
1,トモズ,35.68130689970537,139.7636463,323
1,さくら薬局,35.68208759970545,139.7719374,432
1,B.B.O.N,35.68233319970546,139.773195,549
1,ウエルシア薬局,35.682403499705465,139.7732697,557
1,ドラッグイレブン,35.67637039970492,139.7700857,632
1,トモズ,35.682328699705465,139.7748955,701
1,スター薬局,35.687335099705905,139.77071759999998,715
1,薬局アポック,35.674471299704756,139.76675879999996,787
1,スギ薬局,35.685677699705764,139.7744063,796
1,トモズ,35.68880189970604,139.7635172,869
1,アイン薬局,35.675000899704806,139.77325509999997,911
1,くすりの福太郎,35.67908359970517,139.77699389999998,928
1,,35.689279299706094,139.7713069,933
2,ドラッグセイムス 西新宿6丁目店,35.6915554997063,139.68791119999997,420
2,クオール薬局,35.68984179970614,139.6965715,436
2,どらっぐぱぱす 西新宿店,35.690779999706216,139.68722800000003,437
2,ダイコクドラッグ,35.68999419970615,139.6971178,487
2,レジーナ薬局,35.688659899706025,139.6973039,508
2,ダイコクドラッグ,35.688791999706034,139.697487,522
2,スギ薬局,35.687693499705944,139.6972199,530
2,マツモトキヨシ,35.694196899706526,139.69298379999998,537
2,プラザ薬局,35.69001219970615,139.69772669999998,542
2,日生薬局 西新宿店,35.69437089970654,139.69343249999997,566
2,スギ薬局,35.69451749970656,139.6930613,574
2,クォール薬局,35.693891099706505,139.6951326,578
2,博愛堂薬局,35.68854959970602,139.69820049999998,590
2,ダイコクドラッグ,35.68881799970604,139.69838999999996,602
2,マツモトキヨシ,35.68860769970602,139.69837199999998,604
2,共立薬局,35.6949913997066,139.6917285,614
2,伊賀薬局,35.69374119970649,139.6868653,651
2,丸美屋薬局,35.693595999706474,139.697104,666
2,トモズ (Tomod's),35.69004839970616,139.68442349999998,668
2,ダイコクドラッグ,35.68866299970603,139.69970199999997,722
3,ＯＳドラッグ渋谷店,35.65936459970341,139.6996282,118
3,オーエスドラッグ,35.65940479970341,139.6996949,124
3,マツモトキヨシ,35.65970529970344,139.6997907,137
3,サンドラッグ,35.65911709970339,139.69988439999997,144
3,三千里薬局,35.659725799703445,139.70003069999999,159
3,YOKOTA,35.66056859970351,139.69953479999998,170
3,マツモトキヨシ,35.66090489970354,139.69866689999998,170
3,松岡薬局,35.65792869970328,139.69910929999998,177
3,渋谷友好薬局,35.65835169970332,139.69669949999997,187
3,missha,35.6615609997036,139.6979583,242
3,ウイング薬局渋谷道玄坂店,35.65997349970347,139.69568019999997,247
3,ツルハドラッグ,35.66133119970358,139.6968061,254
3,すずらん薬局,35.657288999703226,139.6967401,274
3,ディアファーマシー,35.66085169970354,139.7021074,378
3,けやき薬局,35.66341219970378,139.6958364,499
3,日本調剤宮益坂薬局,35.66006939970346,139.7047006,582
3,渋谷みどり薬局,35.65550619970306,139.70386160000004,661
3,トモズ,35.656692899703174,139.7051356,686
3,クオール,35.66065019970352,139.7062911,734
3,薬ヒグチ,35.660704099703516,139.7063743,743
4,トモズ (Tomod's),35.6604395997035,139.72855319999996,156
4,けやき坂薬局,35.65855179970334,139.7274394,323
4,マツモトキヨシ,35.66290559970373,139.7320883,329
4,スギ薬局,35.66335569970374,139.73189709999997,366
4,マツモトキヨシ,35.65538299970305,139.734481,667
4,イスクラ薬局,35.66637889970402,139.7275079,716
4,スマイル,35.65527209970305,139.73678189999998,813
4,トモズ,35.653593999702885,139.73472649999997,849
4,ウエルシア南麻布店,35.65496979970302,139.7225903,915
4,日本調剤麻布十番薬局,35.65250869970279,139.7352409,977
5,トモズ,35.71182129970812,139.77613289999996,454
5,美生堂薬局,35.71108539970806,139.77501560000002,489
5,os drug,35.71098919970804,139.77456589999997,490
5,八ッ目漢方薬局,35.71238189970816,139.7779117,512
5,マンダイ薬局,35.711057899708045,139.77629229999997,534
5,LA MAISON DU PARFUM,35.710434899708005,139.7751153,561
5,マツモトキヨシ,35.70997049970795,139.7732323,595
5,漢方薬松鶴堂,35.71218269970816,139.7788958,596
5,スマイル,35.71186489970813,139.7787005,604
5,あさがお薬局,35.7093818997079,139.7754036,680
5,和光堂薬局,35.71083009970803,139.7786829,681
5,マツモトキヨシ,35.70914059970787,139.7746685,694
5,守田治兵衛商店,35.70926479970789,139.7716284,694
5,ファーマライズ薬局,35.71080929970804,139.77910229999998,709
5,,35.70914779970788,139.7757576,714
5,上野宝仙堂,35.708976499707866,139.7753848,724
5,上野鈴薬局,35.7127055997082,139.7809768,732
5,薬ダイコク,35.70862439970783,139.7748509,753
5,コスモ薬局,35.71133479970808,139.78032849999997,756
5,三恵漢方薬局,35.71729879970863,139.76530429999997,777
6,トモズ銀座3丁目店,35.6715975997045,139.76847429999998,206
6,マツモトキヨシ,35.67180809970452,139.76381689999997,231
6,銀座まるかん,35.6716284997045,139.76926399999996,277
6,CHANEL,35.67099379970444,139.7629362,300
6,薬局アポック,35.674471299704756,139.76675879999996,369
6,阪神調剤薬局,35.67098259970445,139.7607459,498
6,,35.66684929970407,139.76822539999998,511
6,ドラッグイレブン,35.67637039970492,139.7700857,673
6,トモズ,35.673622899704675,139.75931849999998,683
6,アイン薬局,35.675000899704806,139.77325509999997,763
6,スギ薬局,35.66763009970414,139.75873469999996,785
6,トモズ,35.66551019970395,139.7606859,805
6,キムラヤ,35.6671113997041,139.757858,883
6,マツモトキヨシ,35.66728179970411,139.7576923,886
6,阪神薬局,35.673087799704625,139.7759828,906
6,宮崎薬局,35.6682850997042,139.75633459999997,952
7,マツモトキヨシ,35.62017999969993,139.72928649999997,16
7,トモズ,35.61937729969986,139.7305213,128
